,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
AC009120.10,0.008760646,0.3640171,0.007394202,-4e-45,0.37323624,-1.1e-44,0.00858517,0.010029025,0.35845008,0.008699045,0.36389667,-1.1e-44,-1.3e-44,0.36898547,1.7884054e-07,0.36537528
AC009473.1,-0.00017013683,0.34502167,-0.00019473761,-3e-45,0.35357377,-1e-44,-0.00017801895,-0.00017418951,0.3399186,-0.0001746866,0.34481224,-8e-45,-1.1e-44,0.3496479,1.5511722e-07,0.34656066
AC009495.2,0.0071905106,0.40750775,0.0053055957,-4e-45,0.41803157,-1.3e-44,0.006546296,0.008553095,0.40108165,0.007286988,0.40753114,-1.3e-44,-1.4e-44,0.4131632,2.1114107e-07,0.40881008
AC009506.1,0.083714396,0.3486998,0.08624241,-4e-45,0.3577334,-1.1e-44,0.08600329,0.08954041,0.34318617,0.08450952,0.34860295,-1.3e-44,-1.3e-44,0.35354525,1.9135338e-07,0.34963778
AC009948.5,0.0076366067,0.40769646,0.0057721213,-4e-45,0.4182276,-1.3e-44,0.007004462,0.009027481,0.40126508,0.0077392757,0.40772098,-1.3e-44,-1.4e-44,0.41335562,2.1147105e-07,0.40899593
AC010226.4,-0.0005437621,0.40970308,-0.0005935447,-3e-45,0.42006648,-1.1e-44,-0.00056943507,-0.00056803256,0.40343946,-0.0005502607,0.40967262,-1.1e-44,-1.3e-44,0.41529515,1.9239636e-07,0.41136625
AC011043.1,0.056782834,0.29572487,0.058503367,-4e-45,0.3030635,-8e-45,0.05875136,0.060714185,0.29135448,0.057031542,0.29542464,-8e-45,-1e-44,0.29968783,1.411565e-07,0.29690143
AC011893.3,0.2583632,0.29270333,0.2701701,-6e-45,0.30069196,-1.3e-44,0.26658887,0.2747208,0.2877176,0.26107255,0.2925924,-1.5e-44,-1.4e-44,0.29693896,2.0829086e-07,0.2926922
AC011899.9,-0.00045948505,0.41806462,-0.00050590973,-4e-45,0.42871106,-1.1e-44,-0.0004833634,-0.0004781881,0.41160667,-0.00046460895,0.4180706,-1.1e-44,-1.4e-44,0.42380282,2.0143878e-07,0.41966552
AC012074.2,-0.00022903128,0.35342407,-0.00025741637,-3e-45,0.36220783,-1e-44,-0.00023953244,-0.00023634895,0.34817407,-0.00023396134,0.35323706,-1e-44,-1.1e-44,0.3581745,1.5924991e-07,0.3549856
AC012123.1,0.016698651,0.38238597,0.015542284,-4e-45,0.3921879,-1.1e-44,0.016590916,0.018537588,0.37642732,0.016809314,0.3823349,-1.3e-44,-1.4e-44,0.38765833,1.9512113e-07,0.3836697
AC013264.2,0.2532901,0.27911282,0.26498148,-6e-45,0.28667337,-1.1e-44,0.26149037,0.26927486,0.27441424,0.25588176,0.27895153,-1.5e-44,-1.3e-44,0.28312495,1.9604265e-07,0.27915204
AC013461.1,0.25554457,0.2882967,0.26725549,-6e-45,0.29614216,-1.3e-44,0.26372582,0.27170885,0.283408,0.25820136,0.28816822,-1.5e-44,-1.4e-44,0.2924579,2.0391641e-07,0.2883088
AC015971.2,0.02442246,0.38598168,0.02361516,-4e-45,0.39592046,-1.1e-44,0.024518855,0.026753686,0.37992573,0.024642438,0.38595045,-1.3e-44,-1.4e-44,0.39132357,2.0008436e-07,0.38721445
AC015987.1,0.05117383,0.34556538,0.052109987,-4e-45,0.35438484,-1.1e-44,0.052487172,0.05497828,0.34022313,0.05155717,0.34542572,-1.1e-44,-1.3e-44,0.35030916,1.7806317e-07,0.34670037
AC016549.1,-7.644891e-06,0.352593,-2.4904459e-05,-4e-45,0.36143303,-1e-44,-1.12380085e-05,-1.3414025e-06,0.34728494,-9.895861e-06,0.35242504,-1e-44,-1.1e-44,0.35736516,1.6688726e-07,0.35402465
